address_area_1,address_area_2,address_number,date,price,property_type
Millers Court,", Old Quarter, ",106 ,2021-05-31,"€640,000",Second-Hand
Castleknock,", ",16 ,2021-05-28,"€330,000",Second-Hand
Kells,", An Caislean Aois, ",10 ,2021-05-28,"€212,000",Second-Hand
Newgrange,", An Caislean, ",21 ,2021-05-26,"€267,000",Second-Hand
The Avenue Heathfield,", Carriganarra, ",52 ,2021-05-26,"€385,000",New Build
Maglin Green,", Maglin Estate, ",14 ,2021-05-26,"€650,000",New Build
Millers Court,", Old Quarter, ",107 ,2018-09-18,"€465,000",New Build
Hawthorn Avenue,", Inniscarra View Estate, ",13 ,2018-09-18,"€257,000",Second-Hand
Leecourt,", ",93 ,2018-09-06,"€252,000",Second-Hand
Leslies Arch,", The Old Quarter, ",107 ,2018-09-03,"€300,000",Second-Hand
Glincoole Gardens,", ",20 ,2018-09-03,"€280,000",Second-Hand
Coolroe Court,", ",7 ,2018-08-31,"€422,500",New Build
Whitetholn Avenue,", Inniscarra View, ",24 ,2018-08-27,"€310,000",Second-Hand
The Green,", Coolroe Meadows, ",92 ,2019-11-11,"€330,000",Second-Hand
Coopers Grange,", Old Quarter, ",71 ,2019-11-11,"€265,000",Second-Hand
Caislean Drive,", ",68 ,2019-11-08,"€267,500",Second-Hand
The Close,", Coolroe Meadows, ",31 ,2019-11-07,"€360,000",Second-Hand
Longrange,", Powdermills, ",22 ,2019-11-06,"€245,000",Second-Hand
Castle Park,", ",13 ,2019-11-05,"€50,000",Second-Hand
Old Court,", Greenfields, ",5 ,2019-11-04,"€425,000",Second-Hand
Barley Grove,", The Maltings, ",26 ,2019-11-04,"€242,500",Second-Hand
Tudor Grove,", Station Road, ",4 ,2019-11-04,"€250,000",Second-Hand
Greenfield Road,,", ",2019-11-01,"€555,000",Second-Hand
Woodberry,", Greenfields, ",3 ,2019-03-28,"€690,000",Second-Hand
Coolroe Heights,", ",14 ,2019-03-28,"€315,000",Second-Hand
Tudor Grove,", Station Road, ",10 ,2019-03-27,"€260,000",Second-Hand
Leeview,", ",1 ,2019-03-21,"€265,000",Second-Hand
A Brompton House,", The Cloisters, ",Apartment ,2019-03-20,"€101,579",Second-Hand
Block 3 Tus Abhaile,", Time Square, ",Apartment 4 ,2019-03-18,"€208,000",Second-Hand
Willow Grove,", Coolroe Heights, ",55 ,2018-12-18,"€310,000",Second-Hand
Westcourt Heights,", ",41 ,2018-12-18,"€292,500",Second-Hand
Willow Grove,", Coolroe Heights, ",4 ,2018-12-17,"€310,000",Second-Hand
An Caislean Way,", ",135 ,2018-12-14,"€320,000",Second-Hand
Coopers Grange,", Old Quarter, ",14 ,2018-12-14,"€409,999",New Build
Coopers Grange,", Old Quarter, ",34 ,2020-02-27,"€400,000",New Build
Distillery Court,", The Maltings, ",30 ,2020-02-25,"€206,000",Second-Hand
Woodberry,", Greenfields, ",38 ,2020-02-24,"€485,000",Second-Hand
Distillery Court,", ",45 ,2020-02-24,"€220,000",Second-Hand
The Crescent,", Ballincollig Town Centre, ",6 ,2020-02-24,"€270,000",Second-Hand
Millers Court,", Old Quarter, ",13 ,2020-02-24,"€275,000",Second-Hand
Coopers Grange,", Old Quarter, ",6 ,2020-02-21,"€456,525",New Build
Cooper's Grange,", Old Quarter, ",20 ,2019-07-26,"€350,000",New Build
Coopers Grange,", Old Quarter, ",36 ,2019-07-25,"€400,000",New Build
Coppers Grange,", Old Quarter, ",19 ,2019-07-23,"€350,000",New Build
Parknamore,", ",15 ,2019-07-22,"€285,000",Second-Hand
Coopers Grange,", Old Quarter, ",18 ,2019-07-19,"€350,001",New Build
Laurel Wood House,,", Carrigrohane, ",2019-07-19,"€760,000",Second-Hand
Glendower Court,", ",11 ,2020-08-19,"€300,000",Second-Hand
Millers Court,", Old Quarter, ",70 ,2020-08-13,"€420,000",Second-Hand
Newgrange,", An Caislean, ",1 ,2020-08-11,"€213,000",Second-Hand
Shalimar Court,", ","Apartment 5, ",2020-07-31,"€250,000",Second-Hand
Leeview,", ",49 ,2020-12-21,"€255,000",Second-Hand
The Green,", Coolroe Meadows, ",13 ,2020-12-18,"€394,000",Second-Hand
Highfield Park,", ",12 ,2020-12-18,"€310,000",Second-Hand
The Avenue,", Heathfield, ",35 ,2020-12-15,"€379,999",New Build
Coopers Grange,", Old Quarter, ",108 ,2020-12-14,"€520,000",Second-Hand
Rosewood Estate,", ",114 ,2020-12-14,"€280,000",Second-Hand
Distillery Court,", The Maltings, ",27 ,2018-04-04,"€210,000",Second-Hand
Millers Court,", Old Quarter, ",68 ,2018-04-04,"€335,000",New Build
Millers Court,", Old Quarter, ",69 ,2018-04-03,"€380,225",New Build
Coopers Grange,", Old Quarter, ",108 ,2018-03-29,"€465,000",Second-Hand
Glincool Crescent,", Maglin Road, ",9 ,2018-03-28,"€310,000",Second-Hand
Daffodil Fields,", ",25 ,2018-03-28,"€470,000",Second-Hand
Chapel Lane Row,", ","Apartment 2a, ",2021-05-25,"€450,000",Second-Hand
Coopers Grange,", Old Quarter, ",107 ,2021-05-24,"€520,000",Second-Hand
The Avenue,", Heathfield, ",49 ,2021-05-20,"€385,000",New Build
The Crescent,", Highfield Park, ",17 ,2018-08-24,"€275,000",Second-Hand
Coopers Grange,", Old Quarter, ",43 ,2018-08-23,"€250,000",Second-Hand
Beech Park,", ",118 ,2018-08-22,"€261,000",Second-Hand
Daffodil Fields,", ",27 ,2018-08-20,"€465,000",Second-Hand
Woodview,", Fionn Laoi, ",19 ,2018-08-16,"€400,000",New Build
Caislean Drive,", ",73 ,2019-10-31,"€280,000",Second-Hand
Carriganarra,", ",4 ,2019-10-30,"€325,000",Second-Hand
