country,skill_sets,top_skills
"Bengaluru, Karnataka, India","[{'\n  Industry Knowledge': ['Statistical Data Analysis', 'Forecasting', 'Electrical Engineering', 'Data Analysis', 'Robotics', 'Automation', 'Programming', 'Statistical Modeling', 'Business Analysis']}, {'\n  Tools & Technologies': ['Tensorflow', 'Python', 'R', 'Microsoft Excel', 'VBA', 'C++', 'Matlab', 'Microsoft Office', 'Arduino', 'Hadoop', 'PowerPoint', 'SQL', 'Microsoft PowerPoint']}, {'\n  Other Skills': ['Transfer Learning', 'Convolutional Neural Networks', 'Recurrent Neural Networks', 'Ensemble']}]","Deep Learning,Machine Learning,Keras"
"San Francisco, California","[{'\n  Industry Knowledge': ['Optimization', 'Data Analysis', 'Mathematical Modeling', 'Big Data', 'Agile Methodologies']}, {'\n  Tools & Technologies': ['Python', 'SQL', 'C#', 'Linux', 'PostgreSQL', 'pandas']}, {'\n  Other Skills': ['Probability', 'Pattern Recognition', 'Mathematical Programming']}]","Statistics,Machine Learning,Programming"
Greater Seattle Area,"[{'\n  Industry Knowledge': ['Business Analytics', 'Machine Learning', 'Statistics', 'CRM', 'Actuarial Science', 'Analytics', 'Business Intelligence', 'Data Mining', 'Statistical Modeling', 'Data Analysis']}, {'\n  Tools & Technologies': ['R', 'SQL', 'Hadoop', 'Microsoft Excel', 'Tableau']}, {'\n  Other Skills': ['Apache Spark', 'Genetic Algorithms', 'Teradata', 'Regression Analysis', 'BFSI', 'Cluster Analysis', 'Predictive Analytics', 'Customer Analysis', 'Predictive Modeling', 'Deep Learning', 'Support Vector Machine (SVM)', 'Convolutional Neural Network', 'Principal Component Analysis', 'Random Forest', 'Decision Trees']}]","SAS,VBA,Python"
"Mountain View, California","[{'\n  Industry Knowledge': ['Data Analysis', 'Machine Learning', 'Statistics', 'Mathematical Modeling', 'Data Visualization']}, {'\n  Tools & Technologies': ['Matlab', 'SQL', 'SAS', 'Git', 'MongoDB']}, {'\n  Other Skills': ['Data Science', 'Gephi', 'Statistical Programming']}]","Python,R,Data Mining"
"Lisbon Area, Portugal","[{'\n  Industry Knowledge': ['Mobile Applications', 'Machine Learning', 'Big Data', 'Android Development', 'Game Development', 'Basketball']}, {'\n  Tools & Technologies': ['C++', 'Matlab', 'Python', 'JavaScript', 'Amazon Web Services (AWS)', 'Unity3D', 'SQLite', 'AngularJS', 'Tableau', 'Spring Framework']}, {'\n  Other Skills': ['Computational Mathematics', 'Apache Spark', 'MapReduce', 'OCaml', 'Scheme']}]","Java,Algorithms,Mathematics"
,,
"Seattle, Washington","[{'\n  Industry Knowledge': ['Machine Learning', 'Research']}, {'\n  Tools & Technologies': ['C', 'C++', 'SQL', 'Microsoft Office', 'LaTeX']}]","R,Python,Statistics"
Greater Los Angeles Area,"[{'\n  Industry Knowledge': ['Machine Learning', 'Statistical Data Analysis', 'Econometrics']}, {'\n  Tools & Technologies': ['SQL']}]","R,Data Mining,Python"
United Kingdom,"[{'\n  Industry Knowledge': ['Data Visualization', 'International Relations', 'Analysis', 'Business Strategy', 'International Business', 'Market Research', 'Economics', 'Intellectual Property', 'Research', 'Analytical Skills', 'Analytics', 'Statistics']}, {'\n  Tools & Technologies': ['STATA', 'Microsoft Office']}, {'\n  Interpersonal Skills': ['Qualitative Research', 'Lecturing', 'Teamwork', 'Management']}, {'\n  Other Skills': ['Technology Commercialization', 'Performance Motivation', 'Big Data Analytics']}]","R,Python,Machine Learning"
"Cambridge, Massachusetts","[{'\n  Industry Knowledge': ['Shell Scripting', 'Data Analysis', 'Data Mining', 'Business Analysis', 'Business Intelligence', 'Analytics', 'Statistics']}, {'\n  Tools & Technologies': ['Python', 'SQL', 'PL/SQL', 'Hadoop', 'Java', 'C++', 'C', 'HTML', 'Microsoft Office', 'JavaScript', 'Microsoft Excel', 'Tableau', 'Databases', 'SAS', 'Microsoft Word']}, {'\n  Other Skills': ['unix shell scripting', 'JMP', 'Hive', 'Apache Pig', 'SAS E-Miner']}]","Machine Learning,SAS Base,R"
"Hyderabad, Telangana, India","[{'\n  Industry Knowledge': ['Data Analysis', 'Market Research', 'Strategic Planning', 'Statistical Modeling']}, {'\n  Tools & Technologies': ['Microsoft Office', 'Tableau']}, {'\n  Interpersonal Skills': ['Management', 'Customer Service', 'Leadership']}, {'\n  Other Skills': ['SAS Base']}]","Analytics,Business Analysis,Retail"
,,
Greater Boston Area,"[{'\n  Industry Knowledge': ['SAS Programming', 'Statistical Data Analysis', 'Requirements Analysis', 'Optimization', 'Quantitative Analytics', 'Entrepreneurship', 'Building Maintenance', 'Database Management', 'Data Warehousing', 'Sales Management', 'Operations Management', 'Business Development', 'Business Analysis', 'Data Analysis', 'Facilities Management', 'Business Intelligence', 'Analytics', 'Database Administration']}, {'\n  Tools & Technologies': ['R Programming', 'Python', 'Google Analytics', 'SQL', 'Tableau', 'R', 'Microsoft Excel', 'Google Adwords', 'ASP.NET', 'PL/SQL', 'C', 'Oracle']}, {'\n  Interpersonal Skills': ['Team Management', 'Management']}, {'\n  Other Skills': ['Regression Analysis', 'SAS E-Miner', 'Rattle', 'Probabilistic Models', 'Text Analytics', 'Analytic Solver Platform', 'Predictive Modeling', 'Teradata SQL', 'Linear Programming', 'Non-linear Analysis', 'Service-now.com']}]","Predictive Analytics,Prescriptive Analytics,Machine Learning"
,,
"Toronto, Ontario, Canada","[{'\n  Tools & Technologies': ['SQL', 'R']}, {'\n  Interpersonal Skills': ['Leadership']}, {'\n  Other Skills': []}]","Python,Data Analysis,SQL"
"Santa Clara, California","[{'\n  Industry Knowledge': ['Data Mining', 'Business Analysis', 'SAS Programming', 'Software Development']}, {'\n  Tools & Technologies': ['R', 'Eclipse', 'Microsoft Office', 'JavaScript', 'Microsoft Excel', 'Core Java', 'SAS', 'Android', 'Databases']}]","SQL,Python,Java"
San Francisco Bay Area,"[{'\n  Industry Knowledge': []}, {'\n  Tools & Technologies': []}, {'\n  Other Skills': []}]",
Dallas/Fort Worth Area,"[{'\n  Industry Knowledge': ['Statistical Data Analysis', 'Data Visualization', 'Management Consulting', 'Statistics', 'Business Process Improvement']}, {'\n  Tools & Technologies': ['Python', 'R']}, {'\n  Interpersonal Skills': ['Teaching', 'Leadership', 'Public Speaking', 'Employee Training']}, {'\n  Other Skills': ['Regression Analysis']}]","Data Science,Machine Learning,Statistical Data Analysis"
,,
"Bengaluru Area, India","[{'\n  Industry Knowledge': ['Programming', 'Computer Science', 'Algorithms']}, {'\n  Tools & Technologies': ['Java', 'C']}]","Natural Language Processing,C++,Programming"
