skill_sets,top_skills
"[{'\n  Industry Knowledge': ['Machine Learning', 'Artificial Intelligence', 'Data Mining', 'Big Data', 'Algorithms', 'Credit Risk Modeling', 'Analytics', 'Statistical Modeling', 'Mathematical Modeling']}, {'\n  Tools & Technologies': ['R', 'Scala', 'Hadoop', 'SQL', 'SAS', 'TensorFlow']}, {'\n  Other Skills': ['Deep Learning', 'Data Science', 'Fraud Detection', 'Predictive Modeling', 'Logistic Regression', 'Time Series Analysis', 'Decision Trees', 'Model Validation', 'MapReduce', 'Big Data Analytics', 'Hive']}]","Apache Spark,Java,Python"
,
,
,
"[{'\n  Industry Knowledge': ['Analysis', 'Computer Science', 'Mathematics', 'Research', 'Machine Learning', 'Data Analysis', 'Economics', 'Financial Markets', 'Investments', 'Social Media', 'IT Strategy', 'Foreign Languages', 'Finance', 'Art History']}, {'\n  Tools & Technologies': ['SQL', 'Python', 'Microsoft Office', 'Microsoft Excel', 'Matlab', 'C', 'Stata', 'Objective-C']}, {'\n  Interpersonal Skills': ['Public Speaking']}, {'\n  Other Skills': ['Dynamic Programming', 'Big Data Analytics']}]","Java,Databases,Leadership"
,
"[{'\n  Industry Knowledge': []}, {'\n  Tools & Technologies': []}, {'\n  Other Skills': []}]",
,
"[{'\n  Industry Knowledge': ['Statistics', 'Algorithms', 'Data Mining', 'Programming', 'Web Applications', 'Research']}, {'\n  Tools & Technologies': ['SQL', 'Git', 'C++', 'Github', 'LaTeX', 'Mathematica', 'Bash', 'JavaScript', 'Linux']}, {'\n  Other Skills': ['NumPy', 'Matplotlib', 'Parallel Programming', 'CUDA']}]","Python,Data Analysis,Machine Learning"
,
"[{'\n  Industry Knowledge': ['Project Management', 'Business Analysis', 'Data Analysis', 'Web Analytics', 'Business Analytics', 'Graphic Design', 'Customer Insight', 'Segmentation', 'Statistical Data Analysis', 'SAS Programming', 'Quantitative Analytics']}, {'\n  Tools & Technologies': ['Microsoft Excel', 'Business Objects', 'SQL', 'Python', 'Tableau', 'SPSS', 'HTML', 'ArcGIS', 'PHP']}, {'\n  Interpersonal Skills': ['Cross-functional Team Leadership', 'Management']}, {'\n  Other Skills': ['Visualization', 'Geomarketing', 'Decision Support', 'Decision Analysis', 'Teradata SQL', 'KXEN', 'Pentaho', 'ETL Tools', 'Decision Trees', 'Analytique', 'Informatique décisionnelle', 'Exploration des données', 'Analyste commercial', ""Leadership d'équipe multifonctionnelle"", 'Analyses', 'Stratégie marketing', 'Gestion de projet', 'Stratégie', 'Base de données', 'Stratégie commerciale']}]","CRM,Data Mining,Business Intelligence"
,
"[{'\n  Industry Knowledge': ['Data Mining', 'Statistics', 'Data Analysis', 'Shell Scripting']}, {'\n  Tools & Technologies': ['SAS', 'Matlab', 'LaTeX', 'Github']}, {'\n  Interpersonal Skills': ['Teaching']}, {'\n  Other Skills': ['Survival Analysis', 'Logistic Regression', 'SAS E-Miner', 'Experimental Design', 'Monte Carlo Simulation']}]","R,Python,Statistical Modeling"
,
"[{'\n  Industry Knowledge': ['Business Intelligence', 'Data Modeling', 'Shell Scripting', 'Reporting & Analysis', 'Requirements Analysis', 'Analytics', 'Data Warehousing', 'Extract, Transform, Load (ETL)']}, {'\n  Tools & Technologies': ['R', 'Hadoop', 'JavaScript', 'Databases']}, {'\n  Other Skills': ['Text Mining', 'Data Engineering', 'Apache Spark', 'Apache Pig', 'Alteryx', 'Hive', 'Sqoop', 'Dashboarding', 'Unstructured Data', 'Predictive Analytics']}]","SQL,Python,Machine Learning"
,
"[{'\n  Industry Knowledge': ['Data Analysis', 'Mathematics', 'Big Data', 'Research', 'Statistics', 'Programming', 'Algorithms']}, {'\n  Tools & Technologies': ['Linux', 'Microsoft Excel', 'Microsoft Office', 'Microsoft Word']}, {'\n  Interpersonal Skills': ['Leadership', 'Public Speaking', 'Customer Service', 'Teaching']}]","Python,Machine Learning,Mathematical Modeling"
,
"[{'\n  Industry Knowledge': ['Geophysics', 'Signal Processing', 'Electronics', 'Mechanical Engineering', 'Robotics', 'Earth Science', 'Numerical Analysis', 'Algorithms', 'Energy', 'Data Analysis', 'Machine Learning', 'CAD', 'Artificial Intelligence', 'Project Management', 'Data Mining', 'Statistics', 'Data Structures', 'Object Oriented Design', 'Cloud Computing']}, {'\n  Tools & Technologies': ['Python', 'LaTeX', 'Microsoft Office', 'Linux', 'C', 'Labview', 'SQL', 'Java', 'AutoCAD', 'Hadoop', 'R', 'ArcGIS', 'Perl']}, {'\n  Other Skills': ['Fluid Dynamics', 'Seismology', 'Seismic Imaging', 'Logistic Regression', 'Linear Regression']}]","Matlab,Engineering,Simulations"
,
"[{'\n  Industry Knowledge': ['Research', 'Simulations', 'Machine Learning', 'Algorithms', 'Image Processing', 'Programming', 'Optimization', 'Statistics', 'Data Analysis']}, {'\n  Tools & Technologies': ['Simulink', 'C++', 'Microsoft Office', 'Python', 'Java', 'Microsoft Excel', 'SQL']}, {'\n  Interpersonal Skills': []}, {'\n  Other Skills': []}]","Matlab,Signal Processing,LaTeX"
,
"[{'\n  Industry Knowledge': ['Computer Vision', 'Algorithms', 'Computer Science', 'Programming', 'Data Structures', 'Artificial Intelligence', 'Image Processing']}, {'\n  Tools & Technologies': ['Python', 'C++', 'C', 'OpenGL', 'HTML', 'Java', 'Linux']}, {'\n  Other Skills': ['Pattern Recognition']}]","Search Engine Ranking,Machine Learning,Spark"
,
"[{'\n  Industry Knowledge': ['Quantitative Analytics', 'Data Modeling', 'Financial Risk', 'Risk Management', 'Enterprise Risk Management', 'Financial Modeling', 'Business Intelligence', 'Strategy', 'ETL', 'Financial Analysis', 'Data Visualization', 'Actuarial Science', 'Investment Management', 'Process Improvement', 'Analysis', 'Consulting']}, {'\n  Tools & Technologies': ['SQL', 'Tableau', 'VBA', 'Databases']}, {'\n  Interpersonal Skills': ['Management']}, {'\n  Other Skills': ['Apache Pig', 'MicroStrategy', 'Data Stewardship', 'Data Quality']}]","Business Analysis,Data Analysis,Analytics"
,
"[{'\n  Industry Knowledge': ['Machine Learning', 'Data Mining', 'Algorithms', 'Research', 'Computer Vision', 'Mathematical Modeling', 'Optics', 'Human Factors', 'Technical Writing', 'Simulations', 'Research Design']}, {'\n  Tools & Technologies': ['Python', 'R', 'Matlab', 'C++', 'LaTeX', 'OpenGL', 'Mathematica']}, {'\n  Interpersonal Skills': ['Public Speaking']}, {'\n  Other Skills': ['Experimental Design', 'Bayesian statistics']}]","Statistics,Data Analysis,Programming"
,
,
,
"[{'\n  Industry Knowledge': ['Statistics', 'Statistical Modeling', 'Econometrics', 'Machine Learning', 'Analysis', 'Data Visualization', 'Quantitative Analytics', 'Web Development']}, {'\n  Tools & Technologies': ['SAS', 'Python', 'Git', 'LaTeX', 'JavaScript', 'Microsoft Excel', 'Tableau', 'D3']}, {'\n  Other Skills': ['Time Series Analysis', 'RStudio', 'Cake Decorating', 'Predictive Modeling', 'Essential Oils', 'Gephi', 'Customer Analysis', 'Marketing Analytics', 'Imagination']}]","Data Mining,R,Data Analysis"
,
"[{'\n  Industry Knowledge': ['Data Visualization']}, {'\n  Tools & Technologies': ['ArcGIS', 'LaTeX', 'Tableau', 'SAS', 'Microsoft Excel']}, {'\n  Interpersonal Skills': ['Teaching']}, {'\n  Other Skills': ['Linear Algebra', 'Membership Recruitment', 'R Markdown']}]","Statistics,Data Analysis,R"
,
"[{'\n  Industry Knowledge': ['Data Analysis', 'Business Strategy', 'HR Policies', 'Analysis', 'Market Research', 'Analytical Skills', 'Recruiting', 'CRM', 'Business Development', 'Deferred Compensation']}, {'\n  Tools & Technologies': ['Microsoft Office', 'SQL', 'Microsoft Excel', 'MS Excel', 'MS Office', 'SAS']}, {'\n  Interpersonal Skills': ['Employee Relations', 'Personnel Management', 'Management', 'Organizational Development', 'Leadership', 'Team Management', 'Training', 'Interviews', 'Team Building', 'Employee Engagement', 'Performance Appraisal', 'Leadership Development']}, {'\n  Other Skills': ['Predictive Analytics', 'Data Science', 'Talent Acquisition']}]","Performance Management,Talent Management,Human Resources"
,
"[{'\n  Industry Knowledge': ['Data Analysis', 'Business Intelligence', 'Six Sigma', 'Industrial Engineering', 'Operations Research', 'Continuous Improvement', 'Analytics', 'Business Requirements', 'Requirements Analysis', 'Statistics', 'Forecasting']}, {'\n  Tools & Technologies': ['Python', 'Java', 'C++', 'Microsoft Excel', 'SQL', 'MS Excel', 'SAP', 'PowerPoint']}, {'\n  Interpersonal Skills': ['Leadership']}, {'\n  Other Skills': ['Apache Spark', 'Performance Dashboards', 'Web Intelligence']}]","Data Science,Machine Learning,R"
,
"[{'\n  Industry Knowledge': ['Statistical Data Analysis', 'Machine Learning', 'Data Analysis', 'Science', 'Research']}, {'\n  Tools & Technologies': ['Python', 'SQL', 'Matlab']}, {'\n  Interpersonal Skills': ['Teaching']}, {'\n  Other Skills': ['Multivariate Statistics', 'Time Series Analysis', 'multilevel modeling']}]","R,Experimental Design,Statistics"
,
,
,
