Player, From, To, Pos, Ht, Wt, Birth Date, College
2011,2012,C,7-1,251,March 21, 1988,Florida State University
1987,1991,F,6-8,217,December 11, 1963,Duke University
1960,1961,C,6-9,225,October 8, 1936,California State University, Fresno
2015,2015,F-C,6-10,240,August 9, 1991,
2011,2018,C,6-11,250,October 31, 1988,University of Kansas
2007,2018,F-C,6-11,260,July 19, 1985,University of Texas at Austin
1985,1985,C,6-11,260,February 26, 1959,University of Kentucky, University of Connecticut
2016,2016,F,6-8,245,November 16, 1995,University of Kansas
1996,2005,G,6-1,185,June 22, 1973,University of Virginia
2001,2003,G,6-5,205,April 27, 1977,University of Virginia, California State University, Fresno
1994,1994,F,6-7,240,November 1, 1969,University of South Florida
2009,2010,F,6-8,230,December 26, 1986,West Virginia University
1992,2002,C-F,6-9,265,August 31, 1969,Iowa State University
1988,1991,G,6-2,183,November 23, 1964,Indiana University
1968,1968,C-F,6-8,205,,New Mexico State University
1969,1969,F,6-9,205,July 17, 1946,Marshall University
2018,2018,F-C,6-10,234,April 21, 1998,University of Texas at Austin
1996,1997,G,6-4,184,January 28, 1973,University of Pennsylvania
2018,2018,G,6-3,192,January 15, 1993,University of Arizona
2012,2017,F-C,6-9,260,February 4, 1989,Temple University
1970,1979,G,6-2,175,September 26, 1947,University of California, Los Angeles
2002,2011,F-C,6-10,255,June 27, 1978,Villanova University
1989,1990,F,6-8,220,January 26, 1965,Florida State University
1997,2014,G,6-5,205,July 20, 1975,University of Connecticut
2005,2018,G-F,6-4,213,January 11, 1982,Butler County Community College, Oklahoma State University
1972,1972,F,6-6,230,February 8, 1949,University of Miami
1972,1972,F,6-6,195,October 2, 1949,University of Nevada, Las Vegas
2008,2008,C,6-11,250,February 2, 1981,University of Utah, Weber State University
1981,1981,F,6-9,220,September 12, 1958,University of California, Los Angeles
2008,2012,G,6-6,225,February 2, 1985,Rice University
1995,1997,F,6-11,225,August 20, 1972,Duquesne University
2000,2010,G,6-2,171,July 24, 1976,California State University, Fresno
1999,1999,C,6-10,260,April 23, 1973,Liberty University
1996,2003,C-F,6-10,270,November 26, 1970,Vanderbilt University, Pennsylvania State University
1996,1997,F,6-8,230,November 23, 1971,Southern Illinois University
2011,2018,F,6-9,220,September 21, 1990,Wake Forest University
2007,2016,F,6-9,220,December 7, 1982,University of Nevada, Las Vegas
1960,1960,F-G,6-3,200,August 24, 1937,Michigan State University
2002,2017,F-C,6-10,245,July 7, 1978,Blinn College
2010,2011,C,6-11,245,June 23, 1980,
2006,2017,G-F,6-6,220,October 16, 1982,Michigan State University
1968,1970,G,6-2,184,July 6, 1945,Canisius College
2010,2010,G,6-6,215,June 5, 1985,University of Memphis
1968,1971,G-F,6-2,200,September 7, 1944,Saint Joseph's University
1968,1969,C,6-10,230,February 15, 1943,Augsburg College
1975,1976,G,6-2,185,January 1, 1951,University of Southern California
1998,2008,G,6-5,194,July 18, 1974,Ohio State University, University of Kentucky
1983,1983,G,6-3,185,December 28, 1960,University of Kentucky, University of Southern California
1993,1994,F,6-9,220,May 26, 1970,Indiana University
1988,1998,F-C,6-10,230,June 22, 1964,University of Houston
1983,1985,F,6-8,195,September 23, 1960,Bradley University
2011,2016,G-F,6-6,213,March 25, 1989,Oklahoma State University
1976,1977,G,6-5,195,October 9, 1953,West Virginia University
2016,2018,G,6-6,228,November 19, 1993,University of Virginia
1992,2005,G,6-0,168,October 9, 1970,Georgia Institute of Technology
1979,1979,F,6-7,200,May 12, 1955,University of Missouri
2015,2018,F-G,6-9,230,September 20, 1993,University of California, Los Angeles
1989,1989,G,5-11,184,March 23, 1966,Drexel University
1990,2002,F-G,6-6,205,January 20, 1968,University of Illinois at Urbana-Champaign
1983,1990,F-C,6-10,240,November 19, 1960,University of California, Santa Barbara
1985,1994,F-G,6-7,215,October 15, 1958,California State University, Fresno
2009,2018,F,6-10,240,May 6, 1988,University of California
1997,2006,F-G,6-6,208,December 31, 1973,University of Georgia
1989,1997,G-F,6-7,190,January 8, 1967,University of Georgia
1970,1970,C-F,6-7,220,January 11, 1946,Creighton University
2006,2006,C,7-2,240,March 12, 1986,
1955,1955,F,6-7,190,November 1, 1930,Missouri State University
2018,2018,F-C,6-10,252,October 22, 1998,University of California, Los Angeles
1990,1992,F,6-7,225,February 8, 1967,University of Alabama
1998,2000,C,7-0,249,January 1, 1975,
2014,2018,F-G,6-11,222,December 6, 1994,
2016,2016,F,6-7,205,July 17, 1992,
2004,2018,F,6-8,240,May 29, 1984,Syracuse University
1992,2002,G,6-0,176,November 15, 1967,University of Portland, University of Nevada, Las Vegas
2008,2017,C,6-9,245,August 9, 1982,University of Nevada, Las Vegas
2014,2015,C-F,6-11,260,July 29, 1982,
2018,2018,F,6-8,232,July 17, 1997,Indiana University
2016,2016,G,6-1,185,February 13, 1992,Michigan State University
2005,2007,C,6-11,280,August 12, 1980,Brigham Young University
1962,1962,F,6-4,210,February 17, 1936,Iowa State University
2003,2004,F,6-11,250,March 29, 1980,University of Illinois at Urbana-Champaign
1971,1984,G,6-1,150,September 2, 1948,University of Texas at El Paso
2018,2018,G,6-3,188,March 26, 1994,Villanova University
1971,1978,F-C,6-8,215,September 19, 1948,University of Cincinnati
2002,2012,G,6-3,191,January 6, 1982,University of Arizona
2005,2018,F,6-8,215,June 30, 1985,University of California, Los Angeles
1951,1962,F-G,6-4,190,April 9, 1928,Villanova University
1988,1988,F,6-9,230,July 20, 1965,Niagara University
1990,2000,G,6-2,175,September 9, 1967,University of Iowa
1957,1957,C-F,6-8,220,June 17, 1933,Michigan State University
2002,2004,G,6-5,188,June 16, 1980,Pepperdine University
1949,1951,G-F,5-11,170,November 1, 1918,Indiana University
1995,2008,G,6-0,170,June 22, 1968,Fayetteville State University
2007,2014,F-C,6-11,235,November 11, 1984,University of Connecticut
1978,1979,G,6-3,175,October 5, 1955,Duke University
1956,1956,F,6-5,220,December 30, 1933,Pennsylvania State University
1964,1966,G,6-2,175,December 19, 1938,University of Texas at Austin
1970,1974,F,6-5,205,November 3, 1947,University of Notre Dame
2002,2011,G,6-2,202,July 30, 1979,Florida International University
2009,2018,F,6-9,235,March 25, 1988,University of Kansas
1970,1970,G,6-4,185,August 15, 1947,Tulane University
2018,2018,G-F,6-7,213,January 12, 1993,University of Pittsburgh
2011,2018,C,7-0,255,July 4, 1986,
1988,1998,G-F,6-6,210,February 28, 1966,University of Memphis
1991,1999,G-F,6-7,197,December 15, 1967,University of Alabama
1954,1954,G,6-2,185,February 15, 1928,Alliance College
1956,1958,G,6-2,190,September 21, 1931,Indiana State University
2000,2010,G,5-11,160,August 14, 1974,University of South Florida
1961,1971,G,6-0,175,November 7, 1936,North Carolina Agricultural and Technical State University
1947,1947,G,5-10,137,May 18, 1916,Michigan State University
1992,2006,F-G,6-8,205,August 1, 1968,University of Nevada, Las Vegas
2009,2018,G,6-0,183,November 10, 1987,University of Texas at Austin
2007,2008,F,6-10,235,February 27, 1984,University of Illinois at Urbana-Champaign
1992,2002,C,6-10,255,August 18, 1969,Arizona State University
1967,1968,G,6-0,170,August 31, 1944,Boston College
1984,1984,F,6-9,205,July 15, 1961,Rice University
1993,2000,F,6-9,235,October 18, 1969,Seton Hall University
1974,1978,G,6-1,170,July 22, 1952,Pepperdine University
2000,2002,G,6-2,197,August 8, 1979,Duke University
1971,1982,C,6-10,235,February 22, 1948,Santa Clara University
2012,2014,C,6-10,250,April 1, 1985,
2010,2016,F,6-9,240,April 29, 1987,Arizona State University
2007,2012,G,6-5,220,December 16, 1983,University of Kentucky
