title,island,locality,price,beds,size,link,date,ad_type
"Flat / Apartment in CARACAS, Nou Llevant, Palma de Mallorca",Mallorca,Palma de Mallorca,166000,3,95,https://www.idealista.com/en/inmueble/91071450/,2020-10-01,sale
"Flat / Apartment in Henri Dunant, 38, Son Oliva, Palma de Mallorca",Mallorca,Palma de Mallorca,154000,2,70,https://www.idealista.com/en/inmueble/91029718/,2020-10-01,sale
"Flat / Apartment in calle Puerto Rico, Nou Llevant, Palma de Mallorca",Mallorca,Palma de Mallorca,179000,3,100,https://www.idealista.com/en/inmueble/90634074/,2020-10-01,sale
"Flat / Apartment in Rafal Vell, Palma de Mallorca",Mallorca,Palma de Mallorca,180500,3,105,https://www.idealista.com/en/inmueble/90985101/,2020-10-01,sale
"Flat / Apartment in calle d'En Nuno Sanç, Manacor Centro, Manacor",Mallorca,Manacor,139000,3,109,https://www.idealista.com/en/inmueble/90967521/,2020-10-01,sale
"Flat / Apartment in isaac peral, Portocolom, Felanitx",Mallorca,Felanitx,167000,3,105,https://www.idealista.com/en/inmueble/89725392/,2020-10-01,sale
"Penthouse in calle tirant lo balnc, Cristo Rey - Parque Europa, Inca",Mallorca,Inca,199500,3,121,https://www.idealista.com/en/inmueble/90398718/,2020-10-01,sale
"Flat / Apartment in Pere Garau, Palma de Mallorca",Mallorca,Palma de Mallorca,186000,4,150,https://www.idealista.com/en/inmueble/89983661/,2020-10-01,sale
"Flat / Apartment in calle de la Talaia, Peguera, Calvià",Mallorca,Calvià,195000,3,81,https://www.idealista.com/en/inmueble/91150005/,2020-10-01,sale
"Flat / Apartment in manacor, Nou Llevant, Palma de Mallorca",Mallorca,Palma de Mallorca,149940,2,67,https://www.idealista.com/en/inmueble/90972779/,2020-10-01,sale
"Flat / Apartment in Passatge Particular d'Escorca, Rafal Nou - Estadi Balear - Son Malferit, Palma de Mallorca",Mallorca,Palma de Mallorca,143000,3,85,https://www.idealista.com/en/inmueble/90376250/,2020-10-01,sale
"Flat / Apartment in Antoni de Montis, 12, Camp d'En Serralta , Palma de Mallorca",Mallorca,Palma de Mallorca,165000,2,69,https://www.idealista.com/en/inmueble/90307821/,2020-10-01,sale
