title,island,locality,price,beds,size,link,date,ad_type
"Penthouse in carretera de Botija, Sardina, Gáldar",Gran Canaria,Gáldar,129000,2,73,https://www.idealista.com/en/inmueble/88471999/,2020-10-01,sale
"Flat / Apartment in Atindana, La Isleta, Las Palmas de Gran Canaria",Gran Canaria,Las Palmas de Gran Canaria,149000,3,91,https://www.idealista.com/en/inmueble/90742766/,2020-10-01,sale
"Flat / Apartment in Partera Leonorita, 55, San Fernando, San Bartolomé de Tirajana",Gran Canaria,San Bartolomé de Tirajana,185000,3,82,https://www.idealista.com/en/inmueble/30305988/,2020-10-01,sale
"Flat / Apartment in Don Paco Ramos, 35, Aldea de San Nicolás",Gran Canaria,Aldea de San Nicolás,62000,2,62,https://www.idealista.com/en/inmueble/90686879/,2020-10-01,sale
"Flat / Apartment in calle Teno, Vecindario centro-San Pedro Mártir, Santa Lucía de Tirajana",Gran Canaria,Santa Lucía de Tirajana,137000,3,120,https://www.idealista.com/en/inmueble/90346047/,2020-10-01,sale
"Flat / Apartment in calle Antonio Martín López, San Fernando, San Bartolomé de Tirajana",Gran Canaria,San Bartolomé de Tirajana,135000,2,100,https://www.idealista.com/en/inmueble/89710774/,2020-10-01,sale
"Flat / Apartment in Francisco Vega Monroy, 15, El Tablero, San Bartolomé de Tirajana",Gran Canaria,San Bartolomé de Tirajana,190000,3,95,https://www.idealista.com/en/inmueble/90576483/,2020-10-01,sale
"Duplex in Isla de Hierro, 18, Valsequillo de Gran Canaria",Gran Canaria,Valsequillo de Gran Canaria,135000,4,115,https://www.idealista.com/en/inmueble/90557033/,2020-10-01,sale
"Flat / Apartment in calle Polca, Bañaderos-El Puertillo-San Andrés, Arucas",Gran Canaria,Arucas,147490,2,122,https://www.idealista.com/en/inmueble/89664106/,2020-10-01,sale
"Flat / Apartment in avenida Escaleritas, Altavista - Don Zoilo, Las Palmas de Gran Canaria",Gran Canaria,Las Palmas de Gran Canaria,155000,3,108,https://www.idealista.com/en/inmueble/85884841/,2020-10-01,sale
"Flat / Apartment in calle Murillo, Callejón del Castillo - El Calero - Las Huesas, Telde",Gran Canaria,Telde,110000,3,80,https://www.idealista.com/en/inmueble/38221218/,2020-10-01,sale
"Flat / Apartment in calle Valsequillo, San Fernando, San Bartolomé de Tirajana",Gran Canaria,San Bartolomé de Tirajana,126000,3,80,https://www.idealista.com/en/inmueble/90211393/,2020-10-01,sale
"Duplex in ZACATECAS, 21, San Juan de Dios-Salto del Negro-Playa de la Laja, Las Palmas de Gran Canaria",Gran Canaria,Las Palmas de Gran Canaria,119000,2,175,https://www.idealista.com/en/inmueble/87964338/,2020-10-01,sale
